ID,im_nwords_min,im_nwords_max,im_nwords_mean,im_len_min,im_len_max,im_len_mean,total,base_lft,base_gender,base_opl,base_regio,base_polar,base_intpol,MVH_att_cc_1,MVH_att_cc_2,MVH_att_importance_2,att_cc_mean,opl_3cat,search query_1,search query_2,search query_3,total_valid,total_specific,edu_low,edu_mid,edu_high,base_gender2
199,1,3,1.6666666666666667,14,27,19.666666666666668,klimaatverandering klimaatakkoord klimaat doelstelling europa,38,2,5,11,8.0,6.0,4,4,4,4.0,2,klimaatverandering,klimaatakkoord,klimaat doelstelling europa,3.0,2.0,0,1,0,0
200,2,3,2.3333333333333335,18,28,23.333333333333332,klimaatverandering nederland uitstoot invloed klimaat voetafdruk klimaat,28,2,6,8,6.0,6.0,5,4,3,4.5,3,klimaatverandering nederland,uitstoot invloed klimaat,voetafdruk klimaat,3.0,2.0,0,0,1,0
201,1,2,1.6666666666666667,18,27,24.0,klimaatverandering gevolgen klimaatverandering oorzaken klimaatverandering,33,2,6,5,5.0,6.0,6,6,5,6.0,3,klimaatverandering,gevolgen klimaatverandering,oorzaken klimaatverandering,3.0,2.0,0,0,1,0
202,1,1,1.0,6,7,6.666666666666667,natuur klimaat energie,52,1,4,6,1.0,7.0,5,5,5,5.0,2,natuur,klimaat,energie,3.0,2.0,0,1,0,1
203,2,3,2.3333333333333335,14,17,16.0,klimaat nederland politiek den haag klimaat wereld,27,2,6,12,7.0,6.0,6,4,4,5.0,3,klimaat nederland,politiek den haag,klimaat wereld,3.0,1.0,0,0,1,0
204,1,1,1.0,6,11,8.0,klimaat verandering zorgen,59,2,6,8,1.0,5.0,6,6,4,6.0,3,klimaat,verandering,zorgen,3.0,1.0,0,0,1,0
205,1,1,1.0,6,18,10.333333333333334,klimaatverandering milieu klimaat,41,1,4,4,6.0,6.0,6,4,3,5.0,2,klimaatverandering,milieu,klimaat,3.0,1.0,0,1,0,1
206,2,3,2.3333333333333335,13,28,21.666666666666668,klimaat situatie globaal climat change rapporten klimaatverandering,64,1,6,7,8.0,7.0,3,2,4,2.5,3,klimaat situatie globaal,climat change,rapporten klimaatverandering,3.0,2.0,0,0,1,1
207,2,6,3.6666666666666665,19,39,26.666666666666668,opwarming aarde 1920  2020 noord europa smeltende ijskappen kap tropisch regenwoud,64,2,6,11,3.0,6.0,5,5,5,5.0,3,opwarming aarde 1920  2020 noord europa,smeltende ijskappen,kap tropisch regenwoud,3.0,3.0,0,0,1,0
208,2,3,2.3333333333333335,16,18,16.666666666666668,co2 in nederland natuur nederland uitstoot nederland,66,1,6,5,8.0,7.0,6,6,5,6.0,3,co2 in nederland,natuur nederland,uitstoot nederland,3.0,3.0,0,0,1,1
209,1,5,3.0,16,30,24.0,klimaatproblemen klimaatplan politieke partijen is vegan eten de oplossing,32,2,7,4,2.0,4.0,7,6,5,6.5,3,klimaatproblemen,klimaatplan politieke partijen,is vegan eten de oplossing,3.0,3.0,0,0,1,0
211,1,2,1.3333333333333333,9,27,17.333333333333332,milieuvervuiling opwarming alternatieve energiebronnen,57,2,6,12,8.0,6.0,4,6,4,5.0,3,milieuvervuiling,opwarming,alternatieve energiebronnen,3.0,3.0,0,0,1,0
213,2,2,2.0,14,19,16.333333333333332,klimaat verandering klimaat doelen klimaat politiek,42,2,6,3,2.0,7.0,6,6,5,6.0,3,klimaat verandering,klimaat doelen,klimaat politiek,3.0,2.0,0,0,1,0
